Id,PostId,VoteTypeId,CreationDate
830156,207084,2,2008-11-19T00:00:00.000
834905,302804,2,2008-11-20T00:00:00.000
839869,303557,2,2008-11-21T00:00:00.000
841410,308405,2,2008-11-21T00:00:00.000
872841,319238,2,2008-11-25T00:00:00.000
872845,319252,2,2008-11-25T00:00:00.000
872871,319252,2,2008-11-25T00:00:00.000
873918,319252,2,2008-11-26T00:00:00.000
875086,319252,1,2008-11-26T00:00:00.000
885089,323987,2,2008-11-27T00:00:00.000
886041,323990,2,2008-11-27T00:00:00.000
886050,324040,2,2008-11-27T00:00:00.000
886051,324040,1,2008-11-27T00:00:00.000
886936,308405,1,2008-11-27T00:00:00.000
889470,308339,2,2008-11-28T00:00:00.000
889506,325478,2,2008-11-28T00:00:00.000
889508,325480,2,2008-11-28T00:00:00.000
889539,325491,2,2008-11-28T00:00:00.000
889540,325491,1,2008-11-28T00:00:00.000
889544,325478,2,2008-11-28T00:00:00.000
889546,325480,2,2008-11-28T00:00:00.000
889657,325491,2,2008-11-28T00:00:00.000
898853,325505,2,2008-11-30T00:00:00.000
898855,325491,2,2008-11-30T00:00:00.000
900956,268873,2,2008-12-01T00:00:00.000
900957,268777,2,2008-12-01T00:00:00.000
932447,342737,2,2008-12-05T00:00:00.000
932450,342737,2,2008-12-05T00:00:00.000
932456,342745,2,2008-12-05T00:00:00.000
932482,342749,2,2008-12-05T00:00:00.000
932483,342745,2,2008-12-05T00:00:00.000
932499,342752,2,2008-12-05T00:00:00.000
932533,342751,2,2008-12-05T00:00:00.000
932590,342745,2,2008-12-05T00:00:00.000
932594,342737,2,2008-12-05T00:00:00.000
932595,342746,2,2008-12-05T00:00:00.000
932690,342745,2,2008-12-05T00:00:00.000
932693,342746,2,2008-12-05T00:00:00.000
932697,342749,2,2008-12-05T00:00:00.000
932699,342751,2,2008-12-05T00:00:00.000
932702,342752,2,2008-12-05T00:00:00.000
932703,342756,2,2008-12-05T00:00:00.000
933028,342745,1,2008-12-05T00:00:00.000
934930,342745,2,2008-12-05T00:00:00.000
935642,342745,2,2008-12-05T00:00:00.000
936903,344447,2,2008-12-05T00:00:00.000
936905,253063,2,2008-12-05T00:00:00.000
936906,253167,2,2008-12-05T00:00:00.000
982299,342745,2,2008-12-12T00:00:00.000
996169,366887,2,2008-12-14T00:00:00.000
996195,366887,2,2008-12-14T00:00:00.000
996366,366887,2,2008-12-14T00:00:00.000
996367,366917,2,2008-12-14T00:00:00.000
996395,366917,2,2008-12-14T00:00:00.000
996518,207084,2,2008-12-14T00:00:00.000
996628,366917,2,2008-12-14T00:00:00.000
996696,366887,2,2008-12-14T00:00:00.000
996698,367050,2,2008-12-14T00:00:00.000
996936,366887,2,2008-12-14T00:00:00.000
1002972,342756,2,2008-12-15T00:00:00.000
1007604,344447,2,2008-12-16T00:00:00.000
1017119,374684,2,2008-12-17T00:00:00.000
1017180,374728,2,2008-12-17T00:00:00.000
1017217,374750,2,2008-12-17T00:00:00.000
1017221,374750,2,2008-12-17T00:00:00.000
1017223,374750,2,2008-12-17T00:00:00.000
1017233,374750,2,2008-12-17T00:00:00.000
1017277,374780,2,2008-12-17T00:00:00.000
1017319,374734,2,2008-12-17T00:00:00.000
1017326,374750,2,2008-12-17T00:00:00.000
1017327,374773,2,2008-12-17T00:00:00.000
1017332,374750,2,2008-12-17T00:00:00.000
1017334,374771,2,2008-12-17T00:00:00.000
1017398,374773,2,2008-12-17T00:00:00.000
1017451,374750,2,2008-12-17T00:00:00.000
1017606,374750,2,2008-12-17T00:00:00.000
1017874,374728,2,2008-12-17T00:00:00.000
1017890,374734,2,2008-12-17T00:00:00.000
1018288,374750,1,2008-12-17T00:00:00.000
1018324,374750,2,2008-12-17T00:00:00.000
1019360,374732,2,2008-12-17T00:00:00.000
1019384,374728,3,2008-12-17T00:00:00.000
1019412,374728,2,2008-12-17T00:00:00.000
1019561,374732,2,2008-12-17T00:00:00.000
1019618,374732,1,2008-12-17T00:00:00.000
1020314,375189,2,2008-12-17T00:00:00.000
1021256,376396,2,2008-12-17T00:00:00.000
1021277,374732,2,2008-12-17T00:00:00.000
1021282,375153,2,2008-12-17T00:00:00.000
1022644,376772,2,2008-12-18T00:00:00.000
1022753,376772,1,2008-12-18T00:00:00.000
1029014,376772,2,2008-12-18T00:00:00.000
1029016,376221,2,2008-12-18T00:00:00.000
1035684,376221,2,2008-12-19T00:00:00.000
1045612,380481,1,2008-12-21T00:00:00.000
1074033,111614,2,2008-12-27T00:00:00.000
1074036,111576,2,2008-12-27T00:00:00.000
1091342,106534,2,2008-12-30T00:00:00.000
1097432,106616,2,2008-12-31T00:00:00.000
1097864,402987,2,2008-12-31T00:00:00.000
1097869,402987,2,2008-12-31T00:00:00.000
1097872,402987,2,2008-12-31T00:00:00.000
1097917,403010,2,2008-12-31T00:00:00.000
1097929,402987,3,2008-12-31T00:00:00.000
1097935,402969,2,2008-12-31T00:00:00.000
1097936,403010,2,2008-12-31T00:00:00.000
1097980,403024,2,2008-12-31T00:00:00.000
1097988,403024,2,2008-12-31T00:00:00.000
1097992,403010,2,2008-12-31T00:00:00.000
1098011,403024,1,2008-12-31T00:00:00.000
1098012,403024,2,2008-12-31T00:00:00.000
1098015,403024,2,2008-12-31T00:00:00.000
1098033,403024,2,2008-12-31T00:00:00.000
1098035,403020,2,2008-12-31T00:00:00.000
1098036,403024,2,2008-12-31T00:00:00.000
1098040,403020,2,2008-12-31T00:00:00.000
1098044,403024,2,2008-12-31T00:00:00.000
1098048,403035,2,2008-12-31T00:00:00.000
1098052,403017,2,2008-12-31T00:00:00.000
1098053,403016,2,2008-12-31T00:00:00.000
1098073,403035,2,2008-12-31T00:00:00.000
1098112,403024,2,2008-12-31T00:00:00.000
1098149,403024,2,2008-12-31T00:00:00.000
1098254,403024,2,2008-12-31T00:00:00.000
1098255,402969,2,2008-12-31T00:00:00.000
1098375,403027,2,2008-12-31T00:00:00.000
1098401,403024,2,2008-12-31T00:00:00.000
1098739,403024,2,2008-12-31T00:00:00.000
1098745,403010,2,2008-12-31T00:00:00.000
1098792,403024,2,2008-12-31T00:00:00.000
1098822,402969,2,2008-12-31T00:00:00.000
1099836,403035,2,2008-12-31T00:00:00.000
1100697,403045,2,2008-12-31T00:00:00.000
1105369,405374,2,2009-01-01T00:00:00.000
1105382,405380,1,2009-01-01T00:00:00.000
1105388,405380,2,2009-01-01T00:00:00.000
1105407,405380,2,2009-01-01T00:00:00.000
1105534,405410,2,2009-01-01T00:00:00.000
1105684,405380,2,2009-01-01T00:00:00.000
1105685,405410,2,2009-01-01T00:00:00.000
1105686,405384,2,2009-01-01T00:00:00.000
1105687,405468,2,2009-01-01T00:00:00.000
1105740,405410,2,2009-01-01T00:00:00.000
1105741,405384,2,2009-01-01T00:00:00.000
1105742,405468,2,2009-01-01T00:00:00.000
